title,artist,url,genre,language,year
Battle Symphony,Linkin Park,https://www.youtube.com/watch?v=4XSyasr0w8k,,,2017
Rise,Jonas Blue,https://www.youtube.com/watch?v=lrviWgYgwH0,,,2018
Coming Over,Dillon Francis,https://www.youtube.com/watch?v=Z2RLusDPalw,,,2015
Words,Bee Gees,https://www.youtube.com/watch?v=UmoAMZg8MvI,,,2018
One Call Away,Charlie Puth,https://www.youtube.com/watch?v=7pFXFu59iNw,,,2017
Taki Taki,DJ Snake,https://www.youtube.com/watch?v=iH3uetMaaUc,,,2020
But I Do,Keith & Renee,https://www.youtube.com/watch?v=niUxvsptUyo,,,2015
Beautiful,Bazzi,https://www.youtube.com/watch?v=eOcHJ0GrOuU,,,2017
It's Time,Imagine Dragons,https://www.youtube.com/watch?v=l9EhLOvxUSI,,,2021
Budapest,George Ezra,https://www.youtube.com/watch?v=NqEwn5sCxos,,,2020
Not Today,Imagine Dragons,https://www.youtube.com/watch?v=Vru_aslySBI,,,2018
Eastside,benny blanco,https://www.youtube.com/watch?v=74qn0eJSjpA,,,2018
Lucid Dreams,Juice WRLD,https://www.youtube.com/watch?v=hHtv2XMZlKs,,,2018
Secrets,OneRepublic,https://www.youtube.com/watch?v=kTWh2P9N6sA,,,2019
Lovers on the Sun,David Guetta,https://www.youtube.com/watch?v=bjXW05PBG8Y,,,2017
I Need Your Love,Calvin Harris,https://www.youtube.com/watch?v=e3atZ1OXfHU,,,2022
Darkside,Alan Walker,https://www.youtube.com/watch?v=CXU7Xlf8wTI,,,2018
The Night That The Lights Went Out In NYC,The Ataris,https://www.youtube.com/watch?v=1ge1eMS9sig,,,2017
Routine,Alan Walker,https://www.youtube.com/watch?v=PI3QAcYhgdU,,,2016
Afterhours,TroyBoi,https://www.youtube.com/watch?v=wWcZJRXJz9w,,,2020
Happy Now,Kygo,https://www.youtube.com/watch?v=g57Pl1A6IZ4,,,2018
Raindrops Keep Falling on my Head,B.J. Thomas,https://www.youtube.com/watch?v=sySlY1XKlhM,,,2015
Thunderclouds,LSD,https://www.youtube.com/watch?v=bYh3g_fSbJc,,,2019
Call Out My Name,The Weeknd,https://www.youtube.com/watch?v=ZtEtKXhhtS4,,,2018
Taste The Feeling,Avicii,https://www.youtube.com/watch?v=Uoydp5GReFc,,,2018
Unsteady,X Ambassadors,https://www.youtube.com/watch?v=iHOHt6peCTA,,,2018
Vertigo,Release,https://www.youtube.com/watch?v=AvN6HZ53ey0,,,2018
Youngblood (Live),5 Seconds of Summer,https://www.youtube.com/watch?v=fdgXvXpHSIs,,,2018
Rewrite The Stars,James Arthur,https://www.youtube.com/watch?v=GtXvzJRuH9M,,,2018
Flares,NIVIRO,https://www.youtube.com/watch?v=1lM1j3JwLcw,,,2018
Dreamer,Martin Garrix,https://www.youtube.com/watch?v=eRJA5nMXirE,,,2018
Cheap Thrills,Sia,https://www.youtube.com/watch?v=AUfALRGInd4,,,2017
Fast Car,Jonas Blue,https://www.youtube.com/watch?v=4GHcE0OZuNo,,,2018
Sugar,Maroon 5,https://www.youtube.com/watch?v=961yvdvtLqU,,,2022
Arms Around You,XXXTENTACION,https://www.youtube.com/watch?v=4LJJNt2Rkgw,,,2018
Keep It Mello ,Marshmello,https://www.youtube.com/watch?v=Sri_UIBp4Qs,,,2018
Am I Wrong,Nico & Vinz,https://www.youtube.com/watch?v=OLlh4fkXu5M,,,2017
R.I.P. 2 My Youth,The Neighbourhood,https://www.youtube.com/watch?v=K9AAD-3Xpds,,,2017
Jeet,Ritviz,https://www.youtube.com/watch?v=mkqZpEvD4KE,,,2021
